#gamma	N_0	probability

2.63571e-05	0.01675	3.67444e-16
2.6364e-05	0.01675	2.96096e-16
2.63708e-05	0.01675	5.16718e-16
2.63776e-05	0.01675	1.49717e-17
2.63844e-05	0.01675	0
2.63912e-05	0.01675	0
2.6398e-05	0.01675	0
2.64048e-05	0.01675	0
2.64117e-05	0.01675	0
2.64185e-05	0.01675	0
2.64253e-05	0.01675	0
2.64321e-05	0.01675	0
2.64389e-05	0.01675	0
2.64457e-05	0.01675	0
2.64526e-05	0.01675	0
2.64594e-05	0.01675	0
2.64662e-05	0.01675	0
2.6473e-05	0.01675	0
2.64798e-05	0.01675	0
2.64866e-05	0.01675	0
2.64935e-05	0.01675	0
2.65003e-05	0.01675	0
2.65071e-05	0.01675	0
2.65139e-05	0.01675	0
2.65207e-05	0.01675	0
2.65275e-05	0.01675	0
2.65344e-05	0.01675	0
2.65412e-05	0.01675	0
2.6548e-05	0.01675	0
2.65548e-05	0.01675	0
2.65616e-05	0.01675	0
2.65684e-05	0.01675	0
2.65752e-05	0.01675	0
2.65821e-05	0.01675	0
2.65889e-05	0.01675	0
2.65957e-05	0.01675	0
2.66025e-05	0.01675	0
2.66093e-05	0.01675	0
2.66161e-05	0.01675	0
2.6623e-05	0.01675	0
2.66298e-05	0.01675	0
2.66366e-05	0.01675	0
2.66434e-05	0.01675	0
2.66502e-05	0.01675	0
2.6657e-05	0.01675	0
2.66639e-05	0.01675	0
2.66707e-05	0.01675	0
2.66775e-05	0.01675	0
2.66843e-05	0.01675	0
2.66911e-05	0.01675	0
2.66979e-05	0.01675	0
2.67048e-05	0.01675	0
2.67116e-05	0.01675	0
2.67184e-05	0.01675	0
2.67252e-05	0.01675	0
2.6732e-05	0.01675	0
2.67388e-05	0.01675	0
2.67456e-05	0.01675	0
2.67525e-05	0.01675	0
2.67593e-05	0.01675	0
2.67661e-05	0.01675	0
2.67729e-05	0.01675	0
2.67797e-05	0.01675	0
2.67865e-05	0.01675	0
2.67934e-05	0.01675	0
2.68002e-05	0.01675	0
2.6807e-05	0.01675	0
2.68138e-05	0.01675	0
2.68206e-05	0.01675	0
2.68274e-05	0.01675	0
2.68343e-05	0.01675	0
2.68411e-05	0.01675	0
2.68479e-05	0.01675	0
2.68547e-05	0.01675	0
2.68615e-05	0.01675	0
2.68683e-05	0.01675	0
2.68752e-05	0.01675	0
2.6882e-05	0.01675	0
2.68888e-05	0.01675	0
2.68956e-05	0.01675	0
2.69024e-05	0.01675	0
