#n_l	theta_0	probability

1.5383	-0.0011	0
1.5409	-0.0011	0
1.5435	-0.0011	0
1.5461	-0.0011	0
1.5487	-0.0011	0
1.4213	-0.0009	0
1.4239	-0.0009	0
1.4265	-0.0009	0
1.4291	-0.0009	0
1.4317	-0.0009	0
1.4343	-0.0009	0
1.4369	-0.0009	0
1.4395	-0.0009	0
1.4421	-0.0009	0
1.4447	-0.0009	0
1.4473	-0.0009	0
1.4499	-0.0009	0
1.4525	-0.0009	0
1.4551	-0.0009	0
1.4577	-0.0009	0
1.4603	-0.0009	0
1.4629	-0.0009	0
1.4655	-0.0009	0
1.4681	-0.0009	0
1.4707	-0.0009	0
1.4733	-0.0009	0
1.4759	-0.0009	0
1.4785	-0.0009	0
1.4811	-0.0009	0
1.4837	-0.0009	0
1.4863	-0.0009	0
1.4889	-0.0009	0
1.4915	-0.0009	0
1.4941	-0.0009	0
1.4967	-0.0009	0
1.4993	-0.0009	0
1.5019	-0.0009	0
1.5045	-0.0009	0
1.5071	-0.0009	0
1.5097	-0.0009	0
1.5123	-0.0009	0
1.5149	-0.0009	0
1.5175	-0.0009	0
1.5201	-0.0009	0
1.5227	-0.0009	0
1.5253	-0.0009	0
1.5279	-0.0009	0
1.5305	-0.0009	0
1.5331	-0.0009	0
1.5357	-0.0009	0
1.5383	-0.0009	0
1.5409	-0.0009	0
1.5435	-0.0009	0
1.5461	-0.0009	0
1.5487	-0.0009	0
1.4213	-0.0007	0
1.4239	-0.0007	0
1.4265	-0.0007	0
1.4291	-0.0007	0
1.4317	-0.0007	0
1.4343	-0.0007	0
1.4369	-0.0007	0
1.4395	-0.0007	0
1.4421	-0.0007	0
1.4447	-0.0007	0
1.4473	-0.0007	0
1.4499	-0.0007	0
1.4525	-0.0007	0
1.4551	-0.0007	0
1.4577	-0.0007	0
1.4603	-0.0007	0
1.4629	-0.0007	0
1.4655	-0.0007	0
1.4681	-0.0007	0
1.4707	-0.0007	0
1.4733	-0.0007	0
1.4759	-0.0007	0
1.4785	-0.0007	0
1.4811	-0.0007	0
1.4837	-0.0007	0
1.4863	-0.0007	0
1.4889	-0.0007	0
1.4915	-0.0007	0
1.4941	-0.0007	0
1.4967	-0.0007	0
1.4993	-0.0007	0
1.5019	-0.0007	0
1.5045	-0.0007	0
1.5071	-0.0007	0
1.5097	-0.0007	0
1.5123	-0.0007	0
1.5149	-0.0007	0
1.5175	-0.0007	0
1.5201	-0.0007	0
1.5227	-0.0007	0
1.5253	-0.0007	0
1.5279	-0.0007	0
1.5305	-0.0007	0
1.5331	-0.0007	0
1.5357	-0.0007	0
1.5383	-0.0007	0
1.5409	-0.0007	0
1.5435	-0.0007	0
1.5461	-0.0007	0
1.5487	-0.0007	0
1.4213	-0.0005	0
1.4239	-0.0005	0
1.4265	-0.0005	0
1.4291	-0.0005	0
1.4317	-0.0005	0
1.4343	-0.0005	0
1.4369	-0.0005	0
1.4395	-0.0005	0
1.4421	-0.0005	0
1.4447	-0.0005	0
1.4473	-0.0005	0
1.4499	-0.0005	0
1.4525	-0.0005	0
1.4551	-0.0005	0
1.4577	-0.0005	0
1.4603	-0.0005	0
1.4629	-0.0005	0
1.4655	-0.0005	0
1.4681	-0.0005	0
1.4707	-0.0005	0
1.4733	-0.0005	0
1.4759	-0.0005	0
1.4785	-0.0005	0
1.4811	-0.0005	0
1.4837	-0.0005	0
1.4863	-0.0005	0
1.4889	-0.0005	0
1.4915	-0.0005	0
1.4941	-0.0005	0
1.4967	-0.0005	0
1.4993	-0.0005	0
1.5019	-0.0005	0
1.5045	-0.0005	0
1.5071	-0.0005	0
1.5097	-0.0005	0
1.5123	-0.0005	0
1.5149	-0.0005	0
1.5175	-0.0005	0
1.5201	-0.0005	0
1.5227	-0.0005	0
1.5253	-0.0005	0
1.5279	-0.0005	0
1.5305	-0.0005	0
1.5331	-0.0005	0
1.5357	-0.0005	0
1.5383	-0.0005	0
1.5409	-0.0005	0
1.5435	-0.0005	0
1.5461	-0.0005	0
1.5487	-0.0005	0
1.4213	-0.0003	0
1.4239	-0.0003	0
1.4265	-0.0003	0
1.4291	-0.0003	0
1.4317	-0.0003	0
1.4343	-0.0003	0
1.4369	-0.0003	0
1.4395	-0.0003	0
1.4421	-0.0003	0
1.4447	-0.0003	0
1.4473	-0.0003	0
1.4499	-0.0003	0
1.4525	-0.0003	0
1.4551	-0.0003	0
1.4577	-0.0003	0
1.4603	-0.0003	0
1.4629	-0.0003	0
1.4655	-0.0003	0
1.4681	-0.0003	0
1.4707	-0.0003	0
1.4733	-0.0003	0
1.4759	-0.0003	0
1.4785	-0.0003	0
1.4811	-0.0003	0
1.4837	-0.0003	0
1.4863	-0.0003	0
1.4889	-0.0003	0
1.4915	-0.0003	0
1.4941	-0.0003	0
1.4967	-0.0003	0
1.4993	-0.0003	0
1.5019	-0.0003	0
1.5045	-0.0003	0
1.5071	-0.0003	0
1.5097	-0.0003	0
1.5123	-0.0003	0
1.5149	-0.0003	0
1.5175	-0.0003	0
1.5201	-0.0003	0
1.5227	-0.0003	0
1.5253	-0.0003	0
1.5279	-0.0003	0
1.5305	-0.0003	0
1.5331	-0.0003	0
1.5357	-0.0003	0
1.5383	-0.0003	0
1.5409	-0.0003	0
1.5435	-0.0003	0
1.5461	-0.0003	0
1.5487	-0.0003	0
1.4213	-0.0001	0
1.4239	-0.0001	0
1.4265	-0.0001	0
1.4291	-0.0001	0
1.4317	-0.0001	0
1.4343	-0.0001	0
1.4369	-0.0001	0
1.4395	-0.0001	0
1.4421	-0.0001	0
1.4447	-0.0001	0
1.4473	-0.0001	0
1.4499	-0.0001	0
1.4525	-0.0001	0
1.4551	-0.0001	0
1.4577	-0.0001	0
1.4603	-0.0001	0
1.4629	-0.0001	0
1.4655	-0.0001	0
1.4681	-0.0001	0
1.4707	-0.0001	0
1.4733	-0.0001	0
1.4759	-0.0001	0
1.4785	-0.0001	0
1.4811	-0.0001	0
1.4837	-0.0001	0
1.4863	-0.0001	0
1.4889	-0.0001	0
1.4915	-0.0001	0
1.4941	-0.0001	0
1.4967	-0.0001	0
1.4993	-0.0001	0
1.5019	-0.0001	0
1.5045	-0.0001	0
1.5071	-0.0001	0
1.5097	-0.0001	0
1.5123	-0.0001	0
1.5149	-0.0001	0
1.5175	-0.0001	0
1.5201	-0.0001	0
1.5227	-0.0001	0
1.5253	-0.0001	0
1.5279	-0.0001	0
1.5305	-0.0001	0
1.5331	-0.0001	0
1.5357	-0.0001	0
1.5383	-0.0001	0
1.5409	-0.0001	0
1.5435	-0.0001	0
1.5461	-0.0001	0
1.5487	-0.0001	0
1.4213	0.0001	0
1.4239	0.0001	0
1.4265	0.0001	0
1.4291	0.0001	0
1.4317	0.0001	0
1.4343	0.0001	0
1.4369	0.0001	0
1.4395	0.0001	0
1.4421	0.0001	0
1.4447	0.0001	0
1.4473	0.0001	0
1.4499	0.0001	0
1.4525	0.0001	0
1.4551	0.0001	0
1.4577	0.0001	0
1.4603	0.0001	0
1.4629	0.0001	0
1.4655	0.0001	0
1.4681	0.0001	0
1.4707	0.0001	0
1.4733	0.0001	0
1.4759	0.0001	0
1.4785	0.0001	0
1.4811	0.0001	0
1.4837	0.0001	0
1.4863	0.0001	0
1.4889	0.0001	0
1.4915	0.0001	0
1.4941	0.0001	0
1.4967	0.0001	0
1.4993	0.0001	0
1.5019	0.0001	0
1.5045	0.0001	0
1.5071	0.0001	0
1.5097	0.0001	0
1.5123	0.0001	0
1.5149	0.0001	0
1.5175	0.0001	0
1.5201	0.0001	0
1.5227	0.0001	0
1.5253	0.0001	0
1.5279	0.0001	0
1.5305	0.0001	0
1.5331	0.0001	0
1.5357	0.0001	0
1.5383	0.0001	0
1.5409	0.0001	0
1.5435	0.0001	0
1.5461	0.0001	0
1.5487	0.0001	0
1.4213	0.0003	0
1.4239	0.0003	0
1.4265	0.0003	0
1.4291	0.0003	0
1.4317	0.0003	0
1.4343	0.0003	0
1.4369	0.0003	0
1.4395	0.0003	0
1.4421	0.0003	0
1.4447	0.0003	0
1.4473	0.0003	0
1.4499	0.0003	0
1.4525	0.0003	0
1.4551	0.0003	0
1.4577	0.0003	0
1.4603	0.0003	0
1.4629	0.0003	0
1.4655	0.0003	0
1.4681	0.0003	0
1.4707	0.0003	0
1.4733	0.0003	0
1.4759	0.0003	0
1.4785	0.0003	0
1.4811	0.0003	0
1.4837	0.0003	0
1.4863	0.0003	0
1.4889	0.0003	0
1.4915	0.0003	0
1.4941	0.0003	0
1.4967	0.0003	0
1.4993	0.0003	0
1.5019	0.0003	0
1.5045	0.0003	0
1.5071	0.0003	0
1.5097	0.0003	0
1.5123	0.0003	0
1.5149	0.0003	0
1.5175	0.0003	0
1.5201	0.0003	0
1.5227	0.0003	0
1.5253	0.0003	0
1.5279	0.0003	0
1.5305	0.0003	0
1.5331	0.0003	0
1.5357	0.0003	0
1.5383	0.0003	0
1.5409	0.0003	0
1.5435	0.0003	0
1.5461	0.0003	0
1.5487	0.0003	0
1.4213	0.0005	0
1.4239	0.0005	0
1.4265	0.0005	0
1.4291	0.0005	0
1.4317	0.0005	0
1.4343	0.0005	0
1.4369	0.0005	0
1.4395	0.0005	0
1.4421	0.0005	0
1.4447	0.0005	0
1.4473	0.0005	0
1.4499	0.0005	0
1.4525	0.0005	0
1.4551	0.0005	0
1.4577	0.0005	0
1.4603	0.0005	0
1.4629	0.0005	0
1.4655	0.0005	0
1.4681	0.0005	0
1.4707	0.0005	0
1.4733	0.0005	0
1.4759	0.0005	0
1.4785	0.0005	0
1.4811	0.0005	0
1.4837	0.0005	0
1.4863	0.0005	0
1.4889	0.0005	0
1.4915	0.0005	0
1.4941	0.0005	0
1.4967	0.0005	0
1.4993	0.0005	0
1.5019	0.0005	0
1.5045	0.0005	0
1.5071	0.0005	0
1.5097	0.0005	0
1.5123	0.0005	0
1.5149	0.0005	0
1.5175	0.0005	0
1.5201	0.0005	0
1.5227	0.0005	0
1.5253	0.0005	0
1.5279	0.0005	0
1.5305	0.0005	0
1.5331	0.0005	0
1.5357	0.0005	0
1.5383	0.0005	0
1.5409	0.0005	0
1.5435	0.0005	0
1.5461	0.0005	0
1.5487	0.0005	0
1.4213	0.0007	0
1.4239	0.0007	0
1.4265	0.0007	0
1.4291	0.0007	0
1.4317	0.0007	0
1.4343	0.0007	0
1.4369	0.0007	0
1.4395	0.0007	0
1.4421	0.0007	0
1.4447	0.0007	0
1.4473	0.0007	0
1.4499	0.0007	0
1.4525	0.0007	0
1.4551	0.0007	0
1.4577	0.0007	0
1.4603	0.0007	0
1.4629	0.0007	0
1.4655	0.0007	0
1.4681	0.0007	0
1.4707	0.0007	0
1.4733	0.0007	0
1.4759	0.0007	0
1.4785	0.0007	0
1.4811	0.0007	0
1.4837	0.0007	0
1.4863	0.0007	0
1.4889	0.0007	0
1.4915	0.0007	0
1.4941	0.0007	0
1.4967	0.0007	0
1.4993	0.0007	0
1.5019	0.0007	0
1.5045	0.0007	0
1.5071	0.0007	0
1.5097	0.0007	0
1.5123	0.0007	0
1.5149	0.0007	0
1.5175	0.0007	0
1.5201	0.0007	0
1.5227	0.0007	0
1.5253	0.0007	0
1.5279	0.0007	0
1.5305	0.0007	0
1.5331	0.0007	0
1.5357	0.0007	0
1.5383	0.0007	0
1.5409	0.0007	0
1.5435	0.0007	0
1.5461	0.0007	0
1.5487	0.0007	0
1.4213	0.0009	0
1.4239	0.0009	0
1.4265	0.0009	0
1.4291	0.0009	0
1.4317	0.0009	0
1.4343	0.0009	0
1.4369	0.0009	0
1.4395	0.0009	0
1.4421	0.0009	0
1.4447	0.0009	0
1.4473	0.0009	0
1.4499	0.0009	0
1.4525	0.0009	0
1.4551	0.0009	0
1.4577	0.0009	0
1.4603	0.0009	0
1.4629	0.0009	0
1.4655	0.0009	0
1.4681	0.0009	0
1.4707	0.0009	0
1.4733	0.0009	0
1.4759	0.0009	0
1.4785	0.0009	0
1.4811	0.0009	0
1.4837	0.0009	0
1.4863	0.0009	0
1.4889	0.0009	0
1.4915	0.0009	0
1.4941	0.0009	0
1.4967	0.0009	0
1.4993	0.0009	0
1.5019	0.0009	0
1.5045	0.0009	0
1.5071	0.0009	0
1.5097	0.0009	0
1.5123	0.0009	0
1.5149	0.0009	0
1.5175	0.0009	0
1.5201	0.0009	0
1.5227	0.0009	0
1.5253	0.0009	0
1.5279	0.0009	0
1.5305	0.0009	0
1.5331	0.0009	0
1.5357	0.0009	0
1.5383	0.0009	0
1.5409	0.0009	0
1.5435	0.0009	0
1.5461	0.0009	0
1.5487	0.0009	0
1.4213	0.0011	0
1.4239	0.0011	0
1.4265	0.0011	0
1.4291	0.0011	0
1.4317	0.0011	0
1.4343	0.0011	0
1.4369	0.0011	0
1.4395	0.0011	0
1.4421	0.0011	0
1.4447	0.0011	0
1.4473	0.0011	0
1.4499	0.0011	0
1.4525	0.0011	0
1.4551	0.0011	0
1.4577	0.0011	0
1.4603	0.0011	0
1.4629	0.0011	0
1.4655	0.0011	0
1.4681	0.0011	0
1.4707	0.0011	0
1.4733	0.0011	0
1.4759	0.0011	0
1.4785	0.0011	0
1.4811	0.0011	0
1.4837	0.0011	0
1.4863	0.0011	0
1.4889	0.0011	0
1.4915	0.0011	0
1.4941	0.0011	0
1.4967	0.0011	0
1.4993	0.0011	0
1.5019	0.0011	0
1.5045	0.0011	0
1.5071	0.0011	0
1.5097	0.0011	0
1.5123	0.0011	0
1.5149	0.0011	0
1.5175	0.0011	0
1.5201	0.0011	0
1.5227	0.0011	0
1.5253	0.0011	0
1.5279	0.0011	0
1.5305	0.0011	0
1.5331	0.0011	0
1.5357	0.0011	0
1.5383	0.0011	0
1.5409	0.0011	0
1.5435	0.0011	0
1.5461	0.0011	0
1.5487	0.0011	0
1.4213	0.0013	0
1.4239	0.0013	0
1.4265	0.0013	0
1.4291	0.0013	0
1.4317	0.0013	0
1.4343	0.0013	0
1.4369	0.0013	0
1.4395	0.0013	0
1.4421	0.0013	0
1.4447	0.0013	0
1.4473	0.0013	0
1.4499	0.0013	0
1.4525	0.0013	0
1.4551	0.0013	0
1.4577	0.0013	0
1.4603	0.0013	0
1.4629	0.0013	0
1.4655	0.0013	0
1.4681	0.0013	0
1.4707	0.0013	0
1.4733	0.0013	0
1.4759	0.0013	0
1.4785	0.0013	0
1.4811	0.0013	0
1.4837	0.0013	0
1.4863	0.0013	0
1.4889	0.0013	0
1.4915	0.0013	0
1.4941	0.0013	0
1.4967	0.0013	0
1.4993	0.0013	0
1.5019	0.0013	0
1.5045	0.0013	0
1.5071	0.0013	0
1.5097	0.0013	0
1.5123	0.0013	0
1.5149	0.0013	0
1.5175	0.0013	0
1.5201	0.0013	0
1.5227	0.0013	0
1.5253	0.0013	0
1.5279	0.0013	0
1.5305	0.0013	0
1.5331	0.0013	0
1.5357	0.0013	0
1.5383	0.0013	0
1.5409	0.0013	0
1.5435	0.0013	0
1.5461	0.0013	0
1.5487	0.0013	0
1.4213	0.0015	0
1.4239	0.0015	0
1.4265	0.0015	0
1.4291	0.0015	0
1.4317	0.0015	0
1.4343	0.0015	0
1.4369	0.0015	0
1.4395	0.0015	0
1.4421	0.0015	0
1.4447	0.0015	0
1.4473	0.0015	0
1.4499	0.0015	0
1.4525	0.0015	0
1.4551	0.0015	0
1.4577	0.0015	0
1.4603	0.0015	0
1.4629	0.0015	0
1.4655	0.0015	0
1.4681	0.0015	0
1.4707	0.0015	0
1.4733	0.0015	0
1.4759	0.0015	0
1.4785	0.0015	0
1.4811	0.0015	0
1.4837	0.0015	0
1.4863	0.0015	0
1.4889	0.0015	0
1.4915	0.0015	0
1.4941	0.0015	0
1.4967	0.0015	0
1.4993	0.0015	0
1.5019	0.0015	0
1.5045	0.0015	0
1.5071	0.0015	0
1.5097	0.0015	0
1.5123	0.0015	0
1.5149	0.0015	0
1.5175	0.0015	0
1.5201	0.0015	0
1.5227	0.0015	0
1.5253	0.0015	0
1.5279	0.0015	0
1.5305	0.0015	0
1.5331	0.0015	0
1.5357	0.0015	0
1.5383	0.0015	0
1.5409	0.0015	0
1.5435	0.0015	0
1.5461	0.0015	0
1.5487	0.0015	0
1.4213	0.0017	0
1.4239	0.0017	0
1.4265	0.0017	0
1.4291	0.0017	0
1.4317	0.0017	0
1.4343	0.0017	0
1.4369	0.0017	0
1.4395	0.0017	0
1.4421	0.0017	0
1.4447	0.0017	0
1.4473	0.0017	0
1.4499	0.0017	0
1.4525	0.0017	0
1.4551	0.0017	0
1.4577	0.0017	0
1.4603	0.0017	0
1.4629	0.0017	0
1.4655	0.0017	0
1.4681	0.0017	0
1.4707	0.0017	0
1.4733	0.0017	0
1.4759	0.0017	0
1.4785	0.0017	0
1.4811	0.0017	0
1.4837	0.0017	0
1.4863	0.0017	0
1.4889	0.0017	0
1.4915	0.0017	0
1.4941	0.0017	0
1.4967	0.0017	0
1.4993	0.0017	0
1.5019	0.0017	0
1.5045	0.0017	0
1.5071	0.0017	0
1.5097	0.0017	0
1.5123	0.0017	0
1.5149	0.0017	0
1.5175	0.0017	0
1.5201	0.0017	0
1.5227	0.0017	0
1.5253	0.0017	0
1.5279	0.0017	0
1.5305	0.0017	0
1.5331	0.0017	0
1.5357	0.0017	0
1.5383	0.0017	0
1.5409	0.0017	0
1.5435	0.0017	0
1.5461	0.0017	0
1.5487	0.0017	0
1.4213	0.0019	0
1.4239	0.0019	0
1.4265	0.0019	0
1.4291	0.0019	0
1.4317	0.0019	0
1.4343	0.0019	0
1.4369	0.0019	0
1.4395	0.0019	0
1.4421	0.0019	0
1.4447	0.0019	0
1.4473	0.0019	0
1.4499	0.0019	0
1.4525	0.0019	0
1.4551	0.0019	0
1.4577	0.0019	0
1.4603	0.0019	0
1.4629	0.0019	0
1.4655	0.0019	0
1.4681	0.0019	0
1.4707	0.0019	0
1.4733	0.0019	0
1.4759	0.0019	0
1.4785	0.0019	0
1.4811	0.0019	0
1.4837	0.0019	0
1.4863	0.0019	0
1.4889	0.0019	0
1.4915	0.0019	0
1.4941	0.0019	0
