#gamma	N_0	probability

2.67475e-05	0.5115	0
2.67529e-05	0.5115	0
2.67583e-05	0.5115	0
2.67637e-05	0.5115	0
2.67691e-05	0.5115	0
2.67745e-05	0.5115	0
2.67799e-05	0.5115	0
2.67853e-05	0.5115	0
2.67907e-05	0.5115	0
2.67961e-05	0.5115	0
2.68015e-05	0.5115	0
2.68069e-05	0.5115	0
2.68123e-05	0.5115	0
2.68177e-05	0.5115	0
2.68231e-05	0.5115	0
2.68285e-05	0.5115	0
2.68339e-05	0.5115	0
2.68393e-05	0.5115	0
2.68447e-05	0.5115	0
2.68501e-05	0.5115	0
2.68555e-05	0.5115	0
2.68609e-05	0.5115	0
2.68663e-05	0.5115	0
2.68717e-05	0.5115	0
2.68771e-05	0.5115	0
2.68825e-05	0.5115	0
2.68879e-05	0.5115	0
2.68933e-05	0.5115	0
2.68987e-05	0.5115	0
2.69041e-05	0.5115	0
2.69095e-05	0.5115	0
2.69149e-05	0.5115	0
2.69203e-05	0.5115	0
2.69257e-05	0.5115	0
2.69311e-05	0.5115	0
2.69365e-05	0.5115	0
2.69419e-05	0.5115	0
2.69473e-05	0.5115	0
2.69527e-05	0.5115	0
2.69581e-05	0.5115	0
2.69635e-05	0.5115	0
2.69689e-05	0.5115	0
2.69743e-05	0.5115	0
2.69797e-05	0.5115	0
2.69851e-05	0.5115	0
2.69905e-05	0.5115	0
2.69959e-05	0.5115	0
2.70013e-05	0.5115	0
2.70067e-05	0.5115	0
2.70121e-05	0.5115	0
2.70175e-05	0.5115	0
2.70229e-05	0.5115	0
2.70283e-05	0.5115	0
2.70337e-05	0.5115	0
2.70391e-05	0.5115	0
2.70445e-05	0.5115	0
2.70499e-05	0.5115	0
2.70553e-05	0.5115	0
2.70607e-05	0.5115	0
2.70661e-05	0.5115	0
2.70715e-05	0.5115	0
2.70769e-05	0.5115	0
2.70823e-05	0.5115	0
2.70877e-05	0.5115	0
2.70931e-05	0.5115	0
2.70985e-05	0.5115	0
2.71039e-05	0.5115	0
2.71093e-05	0.5115	0
2.71147e-05	0.5115	0
2.71201e-05	0.5115	0
2.71255e-05	0.5115	0
2.71309e-05	0.5115	0
2.71363e-05	0.5115	0
2.71417e-05	0.5115	0
2.71471e-05	0.5115	0
2.71525e-05	0.5115	0
2.71579e-05	0.5115	0
2.71633e-05	0.5115	0
2.71687e-05	0.5115	0
2.71741e-05	0.5115	0
2.71795e-05	0.5115	0
2.71849e-05	0.5115	0
2.71903e-05	0.5115	0
2.71957e-05	0.5115	0
2.72011e-05	0.5115	0
2.72065e-05	0.5115	0
2.72119e-05	0.5115	0
2.72173e-05	0.5115	0
2.66827e-05	0.5161	0
2.66881e-05	0.5161	0
2.66935e-05	0.5161	0
2.66989e-05	0.5161	0
2.67043e-05	0.5161	0
2.67097e-05	0.5161	0
2.67151e-05	0.5161	0
2.67205e-05	0.5161	0
2.67259e-05	0.5161	0
2.67313e-05	0.5161	0
2.67367e-05	0.5161	0
2.67421e-05	0.5161	0
2.67475e-05	0.5161	0
2.67529e-05	0.5161	0
2.67583e-05	0.5161	0
2.67637e-05	0.5161	0
2.67691e-05	0.5161	0
2.67745e-05	0.5161	0
2.67799e-05	0.5161	0
2.67853e-05	0.5161	0
2.67907e-05	0.5161	0
2.67961e-05	0.5161	0
2.68015e-05	0.5161	0
2.68069e-05	0.5161	0
2.68123e-05	0.5161	0
2.68177e-05	0.5161	0
2.68231e-05	0.5161	0
2.68285e-05	0.5161	0
2.68339e-05	0.5161	0
2.68393e-05	0.5161	0
2.68447e-05	0.5161	0
2.68501e-05	0.5161	0
2.68555e-05	0.5161	0
2.68609e-05	0.5161	0
2.68663e-05	0.5161	0
2.68717e-05	0.5161	0
2.68771e-05	0.5161	0
2.68825e-05	0.5161	0
2.68879e-05	0.5161	0
2.68933e-05	0.5161	0
2.68987e-05	0.5161	0
2.69041e-05	0.5161	0
2.69095e-05	0.5161	0
2.69149e-05	0.5161	0
2.69203e-05	0.5161	0
2.69257e-05	0.5161	0
2.69311e-05	0.5161	0
2.69365e-05	0.5161	0
2.69419e-05	0.5161	0
2.69473e-05	0.5161	0
2.69527e-05	0.5161	0
2.69581e-05	0.5161	0
2.69635e-05	0.5161	0
2.69689e-05	0.5161	0
2.69743e-05	0.5161	0
2.69797e-05	0.5161	0
2.69851e-05	0.5161	0
2.69905e-05	0.5161	0
2.69959e-05	0.5161	0
2.70013e-05	0.5161	0
2.70067e-05	0.5161	0
2.70121e-05	0.5161	0
2.70175e-05	0.5161	0
2.70229e-05	0.5161	0
2.70283e-05	0.5161	0
2.70337e-05	0.5161	0
2.70391e-05	0.5161	0
2.70445e-05	0.5161	0
2.70499e-05	0.5161	0
2.70553e-05	0.5161	0
2.70607e-05	0.5161	0
2.70661e-05	0.5161	0
2.70715e-05	0.5161	0
2.70769e-05	0.5161	0
2.70823e-05	0.5161	0
2.70877e-05	0.5161	0
2.70931e-05	0.5161	0
2.70985e-05	0.5161	0
2.71039e-05	0.5161	0
2.71093e-05	0.5161	0
2.71147e-05	0.5161	0
2.71201e-05	0.5161	0
2.71255e-05	0.5161	0
2.71309e-05	0.5161	0
2.71363e-05	0.5161	0
2.71417e-05	0.5161	0
2.71471e-05	0.5161	0
2.71525e-05	0.5161	0
2.71579e-05	0.5161	0
2.71633e-05	0.5161	0
2.71687e-05	0.5161	0
2.71741e-05	0.5161	0
2.71795e-05	0.5161	0
2.71849e-05	0.5161	0
2.71903e-05	0.5161	0
2.71957e-05	0.5161	0
2.72011e-05	0.5161	0
2.72065e-05	0.5161	0
2.72119e-05	0.5161	0
2.72173e-05	0.5161	0
2.66827e-05	0.5207	0
2.66881e-05	0.5207	0
2.66935e-05	0.5207	0
2.66989e-05	0.5207	0
2.67043e-05	0.5207	0
2.67097e-05	0.5207	0
2.67151e-05	0.5207	0
2.67205e-05	0.5207	0
2.67259e-05	0.5207	0
2.67313e-05	0.5207	0
2.67367e-05	0.5207	0
2.67421e-05	0.5207	0
2.67475e-05	0.5207	0
2.67529e-05	0.5207	0
2.67583e-05	0.5207	0
2.67637e-05	0.5207	0
2.67691e-05	0.5207	0
2.67745e-05	0.5207	0
2.67799e-05	0.5207	0
2.67853e-05	0.5207	0
2.67907e-05	0.5207	0
2.67961e-05	0.5207	0
2.68015e-05	0.5207	0
2.68069e-05	0.5207	0
2.68123e-05	0.5207	0
2.68177e-05	0.5207	0
2.68231e-05	0.5207	0
2.68285e-05	0.5207	0
2.68339e-05	0.5207	0
2.68393e-05	0.5207	0
2.68447e-05	0.5207	0
2.68501e-05	0.5207	0
2.68555e-05	0.5207	0
2.68609e-05	0.5207	0
2.68663e-05	0.5207	0
2.68717e-05	0.5207	0
2.68771e-05	0.5207	0
2.68825e-05	0.5207	0
2.68879e-05	0.5207	0
2.68933e-05	0.5207	0
2.68987e-05	0.5207	0
2.69041e-05	0.5207	0
2.69095e-05	0.5207	0
2.69149e-05	0.5207	0
2.69203e-05	0.5207	0
2.69257e-05	0.5207	0
2.69311e-05	0.5207	0
2.69365e-05	0.5207	0
2.69419e-05	0.5207	0
2.69473e-05	0.5207	0
2.69527e-05	0.5207	0
2.69581e-05	0.5207	0
2.69635e-05	0.5207	0
2.69689e-05	0.5207	0
2.69743e-05	0.5207	0
2.69797e-05	0.5207	0
2.69851e-05	0.5207	0
2.69905e-05	0.5207	0
2.69959e-05	0.5207	0
2.70013e-05	0.5207	0
2.70067e-05	0.5207	0
2.70121e-05	0.5207	0
2.70175e-05	0.5207	0
2.70229e-05	0.5207	0
2.70283e-05	0.5207	0
2.70337e-05	0.5207	0
2.70391e-05	0.5207	0
2.70445e-05	0.5207	0
2.70499e-05	0.5207	0
2.70553e-05	0.5207	0
2.70607e-05	0.5207	0
2.70661e-05	0.5207	0
2.70715e-05	0.5207	0
2.70769e-05	0.5207	0
2.70823e-05	0.5207	0
2.70877e-05	0.5207	0
2.70931e-05	0.5207	0
2.70985e-05	0.5207	0
2.71039e-05	0.5207	0
2.71093e-05	0.5207	0
2.71147e-05	0.5207	0
2.71201e-05	0.5207	0
2.71255e-05	0.5207	0
2.71309e-05	0.5207	0
2.71363e-05	0.5207	0
2.71417e-05	0.5207	0
2.71471e-05	0.5207	0
2.71525e-05	0.5207	0
2.71579e-05	0.5207	0
2.71633e-05	0.5207	0
2.71687e-05	0.5207	0
2.71741e-05	0.5207	0
2.71795e-05	0.5207	0
2.71849e-05	0.5207	0
2.71903e-05	0.5207	0
2.71957e-05	0.5207	0
2.72011e-05	0.5207	0
2.72065e-05	0.5207	0
2.72119e-05	0.5207	0
2.72173e-05	0.5207	0
2.66827e-05	0.5253	0
2.66881e-05	0.5253	0
2.66935e-05	0.5253	0
2.66989e-05	0.5253	0
2.67043e-05	0.5253	0
2.67097e-05	0.5253	0
2.67151e-05	0.5253	0
2.67205e-05	0.5253	0
2.67259e-05	0.5253	0
2.67313e-05	0.5253	0
2.67367e-05	0.5253	0
2.67421e-05	0.5253	0
2.67475e-05	0.5253	0
2.67529e-05	0.5253	0
2.67583e-05	0.5253	0
2.67637e-05	0.5253	0
2.67691e-05	0.5253	0
2.67745e-05	0.5253	0
2.67799e-05	0.5253	0
2.67853e-05	0.5253	0
2.67907e-05	0.5253	0
2.67961e-05	0.5253	0
2.68015e-05	0.5253	0
2.68069e-05	0.5253	0
2.68123e-05	0.5253	0
2.68177e-05	0.5253	0
2.68231e-05	0.5253	0
2.68285e-05	0.5253	0
2.68339e-05	0.5253	0
2.68393e-05	0.5253	0
2.68447e-05	0.5253	0
2.68501e-05	0.5253	0
2.68555e-05	0.5253	0
2.68609e-05	0.5253	0
2.68663e-05	0.5253	0
2.68717e-05	0.5253	0
2.68771e-05	0.5253	0
2.68825e-05	0.5253	0
2.68879e-05	0.5253	0
2.68933e-05	0.5253	0
2.68987e-05	0.5253	0
2.69041e-05	0.5253	0
2.69095e-05	0.5253	0
2.69149e-05	0.5253	0
2.69203e-05	0.5253	0
2.69257e-05	0.5253	0
2.69311e-05	0.5253	0
2.69365e-05	0.5253	0
2.69419e-05	0.5253	0
2.69473e-05	0.5253	0
2.69527e-05	0.5253	0
2.69581e-05	0.5253	0
2.69635e-05	0.5253	0
2.69689e-05	0.5253	0
2.69743e-05	0.5253	0
2.69797e-05	0.5253	0
2.69851e-05	0.5253	0
2.69905e-05	0.5253	0
2.69959e-05	0.5253	0
2.70013e-05	0.5253	0
2.70067e-05	0.5253	0
2.70121e-05	0.5253	0
2.70175e-05	0.5253	0
2.70229e-05	0.5253	0
2.70283e-05	0.5253	0
2.70337e-05	0.5253	0
2.70391e-05	0.5253	0
2.70445e-05	0.5253	0
2.70499e-05	0.5253	0
2.70553e-05	0.5253	0
2.70607e-05	0.5253	0
2.70661e-05	0.5253	0
2.70715e-05	0.5253	0
2.70769e-05	0.5253	0
2.70823e-05	0.5253	0
2.70877e-05	0.5253	0
2.70931e-05	0.5253	0
2.70985e-05	0.5253	0
2.71039e-05	0.5253	0
2.71093e-05	0.5253	0
2.71147e-05	0.5253	0
2.71201e-05	0.5253	0
2.71255e-05	0.5253	0
2.71309e-05	0.5253	0
2.71363e-05	0.5253	0
2.71417e-05	0.5253	0
2.71471e-05	0.5253	0
2.71525e-05	0.5253	0
2.71579e-05	0.5253	0
2.71633e-05	0.5253	0
2.71687e-05	0.5253	0
2.71741e-05	0.5253	0
2.71795e-05	0.5253	0
2.71849e-05	0.5253	0
2.71903e-05	0.5253	0
2.71957e-05	0.5253	0
2.72011e-05	0.5253	0
2.72065e-05	0.5253	0
2.72119e-05	0.5253	0
2.72173e-05	0.5253	0
2.66827e-05	0.5299	0
2.66881e-05	0.5299	0
2.66935e-05	0.5299	0
2.66989e-05	0.5299	0
2.67043e-05	0.5299	0
2.67097e-05	0.5299	0
2.67151e-05	0.5299	0
2.67205e-05	0.5299	0
2.67259e-05	0.5299	0
2.67313e-05	0.5299	0
2.67367e-05	0.5299	0
2.67421e-05	0.5299	0
2.67475e-05	0.5299	0
2.67529e-05	0.5299	0
2.67583e-05	0.5299	0
2.67637e-05	0.5299	0
2.67691e-05	0.5299	0
2.67745e-05	0.5299	0
2.67799e-05	0.5299	0
2.67853e-05	0.5299	0
2.67907e-05	0.5299	0
2.67961e-05	0.5299	0
2.68015e-05	0.5299	0
2.68069e-05	0.5299	0
2.68123e-05	0.5299	0
2.68177e-05	0.5299	0
2.68231e-05	0.5299	0
2.68285e-05	0.5299	0
2.68339e-05	0.5299	0
2.68393e-05	0.5299	0
2.68447e-05	0.5299	0
2.68501e-05	0.5299	0
2.68555e-05	0.5299	0
2.68609e-05	0.5299	0
2.68663e-05	0.5299	0
2.68717e-05	0.5299	0
2.68771e-05	0.5299	0
2.68825e-05	0.5299	0
2.68879e-05	0.5299	0
2.68933e-05	0.5299	0
2.68987e-05	0.5299	0
2.69041e-05	0.5299	0
2.69095e-05	0.5299	0
2.69149e-05	0.5299	0
2.69203e-05	0.5299	0
2.69257e-05	0.5299	0
2.69311e-05	0.5299	0
2.69365e-05	0.5299	0
2.69419e-05	0.5299	0
2.69473e-05	0.5299	0
2.69527e-05	0.5299	0
2.69581e-05	0.5299	0
2.69635e-05	0.5299	0
2.69689e-05	0.5299	0
2.69743e-05	0.5299	0
2.69797e-05	0.5299	0
2.69851e-05	0.5299	0
2.69905e-05	0.5299	0
2.69959e-05	0.5299	0
2.70013e-05	0.5299	0
2.70067e-05	0.5299	0
2.70121e-05	0.5299	0
2.70175e-05	0.5299	0
2.70229e-05	0.5299	0
2.70283e-05	0.5299	0
2.70337e-05	0.5299	0
2.70391e-05	0.5299	0
2.70445e-05	0.5299	0
2.70499e-05	0.5299	0
2.70553e-05	0.5299	0
2.70607e-05	0.5299	0
2.70661e-05	0.5299	0
2.70715e-05	0.5299	0
2.70769e-05	0.5299	0
2.70823e-05	0.5299	0
2.70877e-05	0.5299	0
2.70931e-05	0.5299	0
2.70985e-05	0.5299	0
2.71039e-05	0.5299	0
2.71093e-05	0.5299	0
2.71147e-05	0.5299	0
2.71201e-05	0.5299	0
2.71255e-05	0.5299	0
2.71309e-05	0.5299	0
2.71363e-05	0.5299	0
2.71417e-05	0.5299	0
2.71471e-05	0.5299	0
2.71525e-05	0.5299	0
2.71579e-05	0.5299	0
2.71633e-05	0.5299	0
2.71687e-05	0.5299	0
2.71741e-05	0.5299	0
2.71795e-05	0.5299	0
2.71849e-05	0.5299	0
2.71903e-05	0.5299	0
2.71957e-05	0.5299	0
2.72011e-05	0.5299	0
2.72065e-05	0.5299	0
2.72119e-05	0.5299	0
2.72173e-05	0.5299	0
2.66827e-05	0.5345	0
2.66881e-05	0.5345	0
2.66935e-05	0.5345	0
2.66989e-05	0.5345	0
2.67043e-05	0.5345	0
2.67097e-05	0.5345	0
2.67151e-05	0.5345	0
2.67205e-05	0.5345	0
2.67259e-05	0.5345	0
2.67313e-05	0.5345	0
2.67367e-05	0.5345	0
2.67421e-05	0.5345	0
2.67475e-05	0.5345	0
2.67529e-05	0.5345	0
2.67583e-05	0.5345	0
2.67637e-05	0.5345	0
2.67691e-05	0.5345	0
2.67745e-05	0.5345	0
2.67799e-05	0.5345	0
2.67853e-05	0.5345	0
2.67907e-05	0.5345	0
2.67961e-05	0.5345	0
2.68015e-05	0.5345	0
2.68069e-05	0.5345	0
2.68123e-05	0.5345	0
2.68177e-05	0.5345	0
2.68231e-05	0.5345	0
2.68285e-05	0.5345	0
2.68339e-05	0.5345	0
2.68393e-05	0.5345	0
2.68447e-05	0.5345	0
2.68501e-05	0.5345	0
2.68555e-05	0.5345	0
2.68609e-05	0.5345	0
2.68663e-05	0.5345	0
2.68717e-05	0.5345	0
2.68771e-05	0.5345	0
2.68825e-05	0.5345	0
2.68879e-05	0.5345	0
2.68933e-05	0.5345	0
2.68987e-05	0.5345	0
2.69041e-05	0.5345	0
2.69095e-05	0.5345	0
2.69149e-05	0.5345	0
2.69203e-05	0.5345	0
2.69257e-05	0.5345	0
2.69311e-05	0.5345	0
2.69365e-05	0.5345	0
2.69419e-05	0.5345	0
2.69473e-05	0.5345	0
2.69527e-05	0.5345	0
2.69581e-05	0.5345	0
2.69635e-05	0.5345	0
2.69689e-05	0.5345	0
2.69743e-05	0.5345	0
2.69797e-05	0.5345	0
2.69851e-05	0.5345	0
2.69905e-05	0.5345	0
2.69959e-05	0.5345	0
2.70013e-05	0.5345	0
2.70067e-05	0.5345	0
2.70121e-05	0.5345	0
2.70175e-05	0.5345	0
2.70229e-05	0.5345	0
2.70283e-05	0.5345	0
2.70337e-05	0.5345	0
2.70391e-05	0.5345	0
2.70445e-05	0.5345	0
2.70499e-05	0.5345	0
2.70553e-05	0.5345	0
2.70607e-05	0.5345	0
2.70661e-05	0.5345	0
2.70715e-05	0.5345	0
2.70769e-05	0.5345	0
2.70823e-05	0.5345	0
2.70877e-05	0.5345	0
2.70931e-05	0.5345	0
2.70985e-05	0.5345	0
2.71039e-05	0.5345	0
2.71093e-05	0.5345	0
2.71147e-05	0.5345	0
2.71201e-05	0.5345	0
2.71255e-05	0.5345	0
2.71309e-05	0.5345	0
2.71363e-05	0.5345	0
2.71417e-05	0.5345	0
2.71471e-05	0.5345	0
2.71525e-05	0.5345	0
2.71579e-05	0.5345	0
2.71633e-05	0.5345	0
2.71687e-05	0.5345	0
2.71741e-05	0.5345	0
2.71795e-05	0.5345	0
2.71849e-05	0.5345	0
2.71903e-05	0.5345	0
2.71957e-05	0.5345	0
2.72011e-05	0.5345	0
2.72065e-05	0.5345	0
2.72119e-05	0.5345	0
2.72173e-05	0.5345	0
2.66827e-05	0.5391	0
2.66881e-05	0.5391	0
2.66935e-05	0.5391	0
2.66989e-05	0.5391	0
2.67043e-05	0.5391	0
2.67097e-05	0.5391	0
2.67151e-05	0.5391	0
2.67205e-05	0.5391	0
2.67259e-05	0.5391	0
2.67313e-05	0.5391	0
2.67367e-05	0.5391	0
2.67421e-05	0.5391	0
2.67475e-05	0.5391	0
2.67529e-05	0.5391	0
2.67583e-05	0.5391	0
2.67637e-05	0.5391	0
2.67691e-05	0.5391	0
2.67745e-05	0.5391	0
2.67799e-05	0.5391	0
2.67853e-05	0.5391	0
2.67907e-05	0.5391	0
2.67961e-05	0.5391	0
2.68015e-05	0.5391	0
2.68069e-05	0.5391	0
2.68123e-05	0.5391	0
2.68177e-05	0.5391	0
2.68231e-05	0.5391	0
2.68285e-05	0.5391	0
2.68339e-05	0.5391	0
2.68393e-05	0.5391	0
2.68447e-05	0.5391	0
2.68501e-05	0.5391	0
2.68555e-05	0.5391	0
2.68609e-05	0.5391	0
2.68663e-05	0.5391	0
2.68717e-05	0.5391	0
2.68771e-05	0.5391	0
2.68825e-05	0.5391	0
2.68879e-05	0.5391	0
2.68933e-05	0.5391	0
2.68987e-05	0.5391	0
2.69041e-05	0.5391	0
2.69095e-05	0.5391	0
2.69149e-05	0.5391	0
2.69203e-05	0.5391	0
2.69257e-05	0.5391	0
2.69311e-05	0.5391	0
2.69365e-05	0.5391	0
2.69419e-05	0.5391	0
2.69473e-05	0.5391	0
2.69527e-05	0.5391	0
2.69581e-05	0.5391	0
2.69635e-05	0.5391	0
2.69689e-05	0.5391	0
2.69743e-05	0.5391	0
2.69797e-05	0.5391	0
2.69851e-05	0.5391	0
2.69905e-05	0.5391	0
2.69959e-05	0.5391	0
2.70013e-05	0.5391	0
2.70067e-05	0.5391	0
2.70121e-05	0.5391	0
2.70175e-05	0.5391	0
2.70229e-05	0.5391	0
2.70283e-05	0.5391	0
2.70337e-05	0.5391	0
2.70391e-05	0.5391	0
2.70445e-05	0.5391	0
2.70499e-05	0.5391	0
2.70553e-05	0.5391	0
2.70607e-05	0.5391	0
2.70661e-05	0.5391	0
2.70715e-05	0.5391	0
2.70769e-05	0.5391	0
2.70823e-05	0.5391	0
2.70877e-05	0.5391	0
2.70931e-05	0.5391	0
2.70985e-05	0.5391	0
2.71039e-05	0.5391	0
2.71093e-05	0.5391	0
2.71147e-05	0.5391	0
2.71201e-05	0.5391	0
2.71255e-05	0.5391	0
2.71309e-05	0.5391	0
2.71363e-05	0.5391	0
2.71417e-05	0.5391	0
2.71471e-05	0.5391	0
2.71525e-05	0.5391	0
2.71579e-05	0.5391	0
2.71633e-05	0.5391	0
2.71687e-05	0.5391	0
2.71741e-05	0.5391	0
2.71795e-05	0.5391	0
2.71849e-05	0.5391	0
2.71903e-05	0.5391	0
2.71957e-05	0.5391	0
2.72011e-05	0.5391	0
2.72065e-05	0.5391	0
2.72119e-05	0.5391	0
2.72173e-05	0.5391	0
2.66827e-05	0.5437	0
2.66881e-05	0.5437	0
2.66935e-05	0.5437	0
2.66989e-05	0.5437	0
2.67043e-05	0.5437	0
2.67097e-05	0.5437	0
2.67151e-05	0.5437	0
2.67205e-05	0.5437	0
2.67259e-05	0.5437	0
2.67313e-05	0.5437	0
2.67367e-05	0.5437	0
2.67421e-05	0.5437	0
2.67475e-05	0.5437	0
2.67529e-05	0.5437	0
2.67583e-05	0.5437	0
2.67637e-05	0.5437	0
2.67691e-05	0.5437	0
2.67745e-05	0.5437	0
2.67799e-05	0.5437	0
2.67853e-05	0.5437	0
2.67907e-05	0.5437	0
2.67961e-05	0.5437	0
2.68015e-05	0.5437	0
2.68069e-05	0.5437	0
2.68123e-05	0.5437	0
2.68177e-05	0.5437	0
2.68231e-05	0.5437	0
2.68285e-05	0.5437	0
2.68339e-05	0.5437	0
2.68393e-05	0.5437	0
2.68447e-05	0.5437	0
