#n_l	N_0	probability

1.3825	-0.075	-nan
1.3855	-0.075	-nan
1.3885	-0.075	-nan
1.3915	-0.075	-nan
1.3945	-0.075	-nan
1.3975	-0.075	-nan
1.4005	-0.075	-nan
1.4035	-0.075	-nan
1.4065	-0.075	-nan
1.4095	-0.075	-nan
1.4125	-0.075	-nan
1.4155	-0.075	-nan
1.4185	-0.075	-nan
1.4215	-0.075	-nan
1.4245	-0.075	-nan
1.4275	-0.075	-nan
1.4305	-0.075	-nan
1.4335	-0.075	-nan
1.4365	-0.075	-nan
1.4395	-0.075	-nan
1.4425	-0.075	-nan
1.4455	-0.075	-nan
1.4485	-0.075	-nan
1.4515	-0.075	-nan
1.4545	-0.075	-nan
1.4575	-0.075	-nan
1.4605	-0.075	-nan
1.4635	-0.075	-nan
1.4665	-0.075	-nan
1.4695	-0.075	-nan
1.4725	-0.075	-nan
1.4755	-0.075	-nan
1.4785	-0.075	-nan
1.4815	-0.075	-nan
1.4845	-0.075	-nan
1.4875	-0.075	-nan
1.4905	-0.075	-nan
1.4935	-0.075	-nan
1.4965	-0.075	-nan
1.4995	-0.075	-nan
1.5025	-0.075	-nan
1.5055	-0.075	-nan
1.5085	-0.075	-nan
1.5115	-0.075	-nan
1.5145	-0.075	-nan
1.5175	-0.075	-nan
1.5205	-0.075	-nan
1.5235	-0.075	-nan
1.5265	-0.075	-nan
1.5295	-0.075	-nan
1.5325	-0.075	-nan
1.5355	-0.075	-nan
1.5385	-0.075	-nan
1.5415	-0.075	-nan
1.5445	-0.075	-nan
1.5475	-0.075	-nan
1.5505	-0.075	-nan
1.5535	-0.075	-nan
1.5565	-0.075	-nan
1.5595	-0.075	-nan
1.5625	-0.075	-nan
1.5655	-0.075	-nan
1.5685	-0.075	-nan
1.5715	-0.075	-nan
1.5745	-0.075	-nan
1.5775	-0.075	-nan
1.5805	-0.075	-nan
1.5835	-0.075	-nan
1.5865	-0.075	-nan
1.5895	-0.075	-nan
1.5925	-0.075	-nan
1.5955	-0.075	-nan
1.5985	-0.075	-nan
1.3015	-0.065	-nan
1.3045	-0.065	-nan
1.3075	-0.065	-nan
1.3105	-0.065	-nan
1.3135	-0.065	-nan
1.3165	-0.065	-nan
1.3195	-0.065	-nan
1.3225	-0.065	-nan
1.3255	-0.065	-nan
1.3285	-0.065	-nan
1.3315	-0.065	-nan
1.3345	-0.065	-nan
1.3375	-0.065	-nan
1.3405	-0.065	-nan
1.3435	-0.065	-nan
1.3465	-0.065	-nan
1.3495	-0.065	-nan
