#gamma	theta_0	probability

2.71764e-05	0.000244	0
2.71916e-05	0.000244	0
2.72068e-05	0.000244	0
2.7222e-05	0.000244	0
2.72372e-05	0.000244	0
2.72524e-05	0.000244	0
2.72676e-05	0.000244	0
2.72828e-05	0.000244	0
2.7298e-05	0.000244	0
2.73132e-05	0.000244	0
2.73284e-05	0.000244	0
2.73436e-05	0.000244	0
2.73588e-05	0.000244	0
2.7374e-05	0.000244	0
2.73892e-05	0.000244	0
2.74044e-05	0.000244	0
2.74196e-05	0.000244	0
2.74348e-05	0.000244	0
2.745e-05	0.000244	0
2.74652e-05	0.000244	0
2.74804e-05	0.000244	0
2.74956e-05	0.000244	0
2.75108e-05	0.000244	0
2.7526e-05	0.000244	0
2.75412e-05	0.000244	0
2.75564e-05	0.000244	0
2.75716e-05	0.000244	0
2.75868e-05	0.000244	0
2.7602e-05	0.000244	0
2.76172e-05	0.000244	0
2.76324e-05	0.000244	0
2.61276e-05	0.000252	0
2.61428e-05	0.000252	0
2.6158e-05	0.000252	0
2.61732e-05	0.000252	0
2.61884e-05	0.000252	0
2.62036e-05	0.000252	0
2.62188e-05	0.000252	0
2.6234e-05	0.000252	0
2.62492e-05	0.000252	0
2.62644e-05	0.000252	0
2.62796e-05	0.000252	0
2.62948e-05	0.000252	0
2.631e-05	0.000252	0
2.63252e-05	0.000252	0
2.63404e-05	0.000252	0
2.63556e-05	0.000252	0
2.63708e-05	0.000252	0
2.6386e-05	0.000252	0
2.64012e-05	0.000252	0
2.64164e-05	0.000252	0
2.64316e-05	0.000252	0
2.64468e-05	0.000252	0
2.6462e-05	0.000252	0
2.64772e-05	0.000252	0
2.64924e-05	0.000252	0
2.65076e-05	0.000252	0
2.65228e-05	0.000252	0
2.6538e-05	0.000252	0
2.65532e-05	0.000252	0
2.65684e-05	0.000252	0
2.65836e-05	0.000252	0
2.65988e-05	0.000252	0
2.6614e-05	0.000252	0
2.66292e-05	0.000252	0
2.66444e-05	0.000252	0
2.66596e-05	0.000252	0
2.66748e-05	0.000252	0
2.669e-05	0.000252	0
2.67052e-05	0.000252	0
2.67204e-05	0.000252	0
2.67356e-05	0.000252	0
2.67508e-05	0.000252	0
2.6766e-05	0.000252	0
2.67812e-05	0.000252	0
2.67964e-05	0.000252	0
2.68116e-05	0.000252	0
2.68268e-05	0.000252	0
2.6842e-05	0.000252	0
2.68572e-05	0.000252	0
2.68724e-05	0.000252	0
2.68876e-05	0.000252	0
2.69028e-05	0.000252	0
2.6918e-05	0.000252	0
2.69332e-05	0.000252	0
2.69484e-05	0.000252	0
2.69636e-05	0.000252	0
2.69788e-05	0.000252	0
2.6994e-05	0.000252	0
2.70092e-05	0.000252	0
2.70244e-05	0.000252	0
2.70396e-05	0.000252	0
2.70548e-05	0.000252	0
2.707e-05	0.000252	0
2.70852e-05	0.000252	0
2.71004e-05	0.000252	0
2.71156e-05	0.000252	0
2.71308e-05	0.000252	0
2.7146e-05	0.000252	0
2.71612e-05	0.000252	0
2.71764e-05	0.000252	0
2.71916e-05	0.000252	0
2.72068e-05	0.000252	0
2.7222e-05	0.000252	0
2.72372e-05	0.000252	0
2.72524e-05	0.000252	0
2.72676e-05	0.000252	0
2.72828e-05	0.000252	0
2.7298e-05	0.000252	0
2.73132e-05	0.000252	0
2.73284e-05	0.000252	0
2.73436e-05	0.000252	0
2.73588e-05	0.000252	0
2.7374e-05	0.000252	0
2.73892e-05	0.000252	0
2.74044e-05	0.000252	0
2.74196e-05	0.000252	0
2.74348e-05	0.000252	0
2.745e-05	0.000252	0
2.74652e-05	0.000252	0
2.74804e-05	0.000252	0
2.74956e-05	0.000252	0
2.75108e-05	0.000252	0
2.7526e-05	0.000252	0
2.75412e-05	0.000252	0
2.75564e-05	0.000252	0
2.75716e-05	0.000252	0
2.75868e-05	0.000252	0
2.7602e-05	0.000252	0
2.76172e-05	0.000252	0
2.76324e-05	0.000252	0
2.61276e-05	0.00026	0
2.61428e-05	0.00026	0
2.6158e-05	0.00026	0
2.61732e-05	0.00026	0
2.61884e-05	0.00026	0
2.62036e-05	0.00026	0
2.62188e-05	0.00026	0
2.6234e-05	0.00026	0
2.62492e-05	0.00026	0
2.62644e-05	0.00026	0
2.62796e-05	0.00026	0
2.62948e-05	0.00026	0
2.631e-05	0.00026	0
2.63252e-05	0.00026	0
2.63404e-05	0.00026	0
2.63556e-05	0.00026	0
2.63708e-05	0.00026	0
2.6386e-05	0.00026	0
2.64012e-05	0.00026	0
2.64164e-05	0.00026	0
2.64316e-05	0.00026	0
2.64468e-05	0.00026	0
2.6462e-05	0.00026	0
2.64772e-05	0.00026	0
2.64924e-05	0.00026	0
2.65076e-05	0.00026	0
2.65228e-05	0.00026	0
2.6538e-05	0.00026	0
2.65532e-05	0.00026	0
2.65684e-05	0.00026	0
2.65836e-05	0.00026	0
2.65988e-05	0.00026	0
2.6614e-05	0.00026	0
2.66292e-05	0.00026	0
2.66444e-05	0.00026	0
2.66596e-05	0.00026	0
2.66748e-05	0.00026	0
2.669e-05	0.00026	0
2.67052e-05	0.00026	0
2.67204e-05	0.00026	0
2.67356e-05	0.00026	0
2.67508e-05	0.00026	0
2.6766e-05	0.00026	0
2.67812e-05	0.00026	0
2.67964e-05	0.00026	0
2.68116e-05	0.00026	0
2.68268e-05	0.00026	0
2.6842e-05	0.00026	0
2.68572e-05	0.00026	0
2.68724e-05	0.00026	0
2.68876e-05	0.00026	0
2.69028e-05	0.00026	0
2.6918e-05	0.00026	0
2.69332e-05	0.00026	0
2.69484e-05	0.00026	0
2.69636e-05	0.00026	0
2.69788e-05	0.00026	0
2.6994e-05	0.00026	0
2.70092e-05	0.00026	0
2.70244e-05	0.00026	0
2.70396e-05	0.00026	0
2.70548e-05	0.00026	0
2.707e-05	0.00026	0
2.70852e-05	0.00026	0
2.71004e-05	0.00026	0
2.71156e-05	0.00026	0
2.71308e-05	0.00026	0
2.7146e-05	0.00026	0
2.71612e-05	0.00026	0
2.71764e-05	0.00026	0
2.71916e-05	0.00026	0
2.72068e-05	0.00026	0
2.7222e-05	0.00026	0
2.72372e-05	0.00026	0
2.72524e-05	0.00026	0
2.72676e-05	0.00026	0
2.72828e-05	0.00026	0
2.7298e-05	0.00026	0
2.73132e-05	0.00026	0
2.73284e-05	0.00026	0
2.73436e-05	0.00026	0
2.73588e-05	0.00026	0
2.7374e-05	0.00026	0
2.73892e-05	0.00026	0
2.74044e-05	0.00026	0
2.74196e-05	0.00026	0
2.74348e-05	0.00026	0
2.745e-05	0.00026	0
2.74652e-05	0.00026	0
2.74804e-05	0.00026	0
2.74956e-05	0.00026	0
2.75108e-05	0.00026	0
2.7526e-05	0.00026	0
2.75412e-05	0.00026	0
2.75564e-05	0.00026	0
2.75716e-05	0.00026	0
2.75868e-05	0.00026	0
2.7602e-05	0.00026	0
2.76172e-05	0.00026	0
2.76324e-05	0.00026	0
2.61276e-05	0.000268	0
2.61428e-05	0.000268	0
2.6158e-05	0.000268	0
2.61732e-05	0.000268	0
2.61884e-05	0.000268	0
2.62036e-05	0.000268	0
2.62188e-05	0.000268	0
2.6234e-05	0.000268	0
2.62492e-05	0.000268	0
2.62644e-05	0.000268	0
2.62796e-05	0.000268	0
2.62948e-05	0.000268	0
2.631e-05	0.000268	0
2.63252e-05	0.000268	0
2.63404e-05	0.000268	0
2.63556e-05	0.000268	0
2.63708e-05	0.000268	0
2.6386e-05	0.000268	0
2.64012e-05	0.000268	0
2.64164e-05	0.000268	0
2.64316e-05	0.000268	0
2.64468e-05	0.000268	0
2.6462e-05	0.000268	0
2.64772e-05	0.000268	0
2.64924e-05	0.000268	0
2.65076e-05	0.000268	0
2.65228e-05	0.000268	0
2.6538e-05	0.000268	0
2.65532e-05	0.000268	0
2.65684e-05	0.000268	0
2.65836e-05	0.000268	0
2.65988e-05	0.000268	0
2.6614e-05	0.000268	0
2.66292e-05	0.000268	0
2.66444e-05	0.000268	0
2.66596e-05	0.000268	0
2.66748e-05	0.000268	0
2.669e-05	0.000268	0
2.67052e-05	0.000268	0
2.67204e-05	0.000268	0
2.67356e-05	0.000268	0
2.67508e-05	0.000268	0
2.6766e-05	0.000268	0
2.67812e-05	0.000268	0
2.67964e-05	0.000268	0
2.68116e-05	0.000268	0
2.68268e-05	0.000268	0
2.6842e-05	0.000268	0
2.68572e-05	0.000268	0
2.68724e-05	0.000268	0
2.68876e-05	0.000268	0
2.69028e-05	0.000268	0
2.6918e-05	0.000268	0
2.69332e-05	0.000268	0
2.69484e-05	0.000268	0
2.69636e-05	0.000268	0
2.69788e-05	0.000268	0
2.6994e-05	0.000268	0
2.70092e-05	0.000268	0
2.70244e-05	0.000268	0
2.70396e-05	0.000268	0
2.70548e-05	0.000268	0
2.707e-05	0.000268	0
2.70852e-05	0.000268	0
2.71004e-05	0.000268	0
2.71156e-05	0.000268	0
2.71308e-05	0.000268	0
2.7146e-05	0.000268	0
2.71612e-05	0.000268	0
2.71764e-05	0.000268	0
2.71916e-05	0.000268	0
2.72068e-05	0.000268	0
2.7222e-05	0.000268	0
2.72372e-05	0.000268	0
2.72524e-05	0.000268	0
2.72676e-05	0.000268	0
2.72828e-05	0.000268	0
2.7298e-05	0.000268	0
2.73132e-05	0.000268	0
2.73284e-05	0.000268	0
2.73436e-05	0.000268	0
2.73588e-05	0.000268	0
2.7374e-05	0.000268	0
2.73892e-05	0.000268	0
2.74044e-05	0.000268	0
2.74196e-05	0.000268	0
2.74348e-05	0.000268	0
2.745e-05	0.000268	0
2.74652e-05	0.000268	0
2.74804e-05	0.000268	0
2.74956e-05	0.000268	0
2.75108e-05	0.000268	0
2.7526e-05	0.000268	0
2.75412e-05	0.000268	0
2.75564e-05	0.000268	0
2.75716e-05	0.000268	0
2.75868e-05	0.000268	0
2.7602e-05	0.000268	0
2.76172e-05	0.000268	0
2.76324e-05	0.000268	0
2.61276e-05	0.000276	0
2.61428e-05	0.000276	0
2.6158e-05	0.000276	0
2.61732e-05	0.000276	0
2.61884e-05	0.000276	0
2.62036e-05	0.000276	0
2.62188e-05	0.000276	0
2.6234e-05	0.000276	0
2.62492e-05	0.000276	0
2.62644e-05	0.000276	0
2.62796e-05	0.000276	0
2.62948e-05	0.000276	0
2.631e-05	0.000276	0
2.63252e-05	0.000276	0
2.63404e-05	0.000276	0
2.63556e-05	0.000276	0
2.63708e-05	0.000276	0
2.6386e-05	0.000276	0
2.64012e-05	0.000276	0
2.64164e-05	0.000276	0
2.64316e-05	0.000276	0
2.64468e-05	0.000276	0
2.6462e-05	0.000276	0
2.64772e-05	0.000276	0
2.64924e-05	0.000276	0
2.65076e-05	0.000276	0
2.65228e-05	0.000276	0
2.6538e-05	0.000276	0
2.65532e-05	0.000276	0
2.65684e-05	0.000276	0
2.65836e-05	0.000276	0
2.65988e-05	0.000276	0
2.6614e-05	0.000276	0
2.66292e-05	0.000276	0
2.66444e-05	0.000276	0
2.66596e-05	0.000276	0
2.66748e-05	0.000276	0
2.669e-05	0.000276	0
2.67052e-05	0.000276	0
2.67204e-05	0.000276	0
2.67356e-05	0.000276	0
2.67508e-05	0.000276	0
2.6766e-05	0.000276	0
2.67812e-05	0.000276	0
2.67964e-05	0.000276	0
2.68116e-05	0.000276	0
2.68268e-05	0.000276	0
2.6842e-05	0.000276	0
2.68572e-05	0.000276	0
2.68724e-05	0.000276	0
2.68876e-05	0.000276	0
2.69028e-05	0.000276	0
2.6918e-05	0.000276	0
2.69332e-05	0.000276	0
2.69484e-05	0.000276	0
2.69636e-05	0.000276	0
2.69788e-05	0.000276	0
2.6994e-05	0.000276	0
2.70092e-05	0.000276	0
2.70244e-05	0.000276	0
2.70396e-05	0.000276	0
2.70548e-05	0.000276	0
2.707e-05	0.000276	0
2.70852e-05	0.000276	0
2.71004e-05	0.000276	0
2.71156e-05	0.000276	0
2.71308e-05	0.000276	0
2.7146e-05	0.000276	0
2.71612e-05	0.000276	0
2.71764e-05	0.000276	0
2.71916e-05	0.000276	0
2.72068e-05	0.000276	0
2.7222e-05	0.000276	0
2.72372e-05	0.000276	0
2.72524e-05	0.000276	0
2.72676e-05	0.000276	0
2.72828e-05	0.000276	0
2.7298e-05	0.000276	0
2.73132e-05	0.000276	0
2.73284e-05	0.000276	0
2.73436e-05	0.000276	0
2.73588e-05	0.000276	0
2.7374e-05	0.000276	0
2.73892e-05	0.000276	0
2.74044e-05	0.000276	0
2.74196e-05	0.000276	0
2.74348e-05	0.000276	0
2.745e-05	0.000276	0
2.74652e-05	0.000276	0
2.74804e-05	0.000276	0
2.74956e-05	0.000276	0
2.75108e-05	0.000276	0
2.7526e-05	0.000276	0
2.75412e-05	0.000276	0
2.75564e-05	0.000276	0
2.75716e-05	0.000276	0
2.75868e-05	0.000276	0
2.7602e-05	0.000276	0
2.76172e-05	0.000276	0
2.76324e-05	0.000276	0
2.61276e-05	0.000284	0
2.61428e-05	0.000284	0
2.6158e-05	0.000284	0
2.61732e-05	0.000284	0
2.61884e-05	0.000284	0
2.62036e-05	0.000284	0
2.62188e-05	0.000284	0
2.6234e-05	0.000284	0
2.62492e-05	0.000284	0
2.62644e-05	0.000284	0
2.62796e-05	0.000284	0
2.62948e-05	0.000284	0
2.631e-05	0.000284	0
2.63252e-05	0.000284	0
2.63404e-05	0.000284	0
2.63556e-05	0.000284	0
2.63708e-05	0.000284	0
2.6386e-05	0.000284	0
2.64012e-05	0.000284	0
2.64164e-05	0.000284	0
2.64316e-05	0.000284	0
2.64468e-05	0.000284	0
2.6462e-05	0.000284	0
2.64772e-05	0.000284	0
2.64924e-05	0.000284	0
2.65076e-05	0.000284	0
2.65228e-05	0.000284	0
2.6538e-05	0.000284	0
2.65532e-05	0.000284	0
2.65684e-05	0.000284	0
2.65836e-05	0.000284	0
2.65988e-05	0.000284	0
2.6614e-05	0.000284	0
2.66292e-05	0.000284	0
2.66444e-05	0.000284	0
2.66596e-05	0.000284	0
2.66748e-05	0.000284	0
2.669e-05	0.000284	0
2.67052e-05	0.000284	0
2.67204e-05	0.000284	0
2.67356e-05	0.000284	0
2.67508e-05	0.000284	0
2.6766e-05	0.000284	0
2.67812e-05	0.000284	0
2.67964e-05	0.000284	0
2.68116e-05	0.000284	0
2.68268e-05	0.000284	0
2.6842e-05	0.000284	0
2.68572e-05	0.000284	0
2.68724e-05	0.000284	0
2.68876e-05	0.000284	0
2.69028e-05	0.000284	0
2.6918e-05	0.000284	0
2.69332e-05	0.000284	0
2.69484e-05	0.000284	0
2.69636e-05	0.000284	0
2.69788e-05	0.000284	0
2.6994e-05	0.000284	0
2.70092e-05	0.000284	0
2.70244e-05	0.000284	0
2.70396e-05	0.000284	0
2.70548e-05	0.000284	0
2.707e-05	0.000284	0
2.70852e-05	0.000284	0
2.71004e-05	0.000284	0
2.71156e-05	0.000284	0
2.71308e-05	0.000284	0
2.7146e-05	0.000284	0
2.71612e-05	0.000284	0
2.71764e-05	0.000284	0
2.71916e-05	0.000284	0
2.72068e-05	0.000284	0
2.7222e-05	0.000284	0
2.72372e-05	0.000284	0
2.72524e-05	0.000284	0
2.72676e-05	0.000284	0
2.72828e-05	0.000284	0
2.7298e-05	0.000284	0
2.73132e-05	0.000284	0
2.73284e-05	0.000284	0
2.73436e-05	0.000284	0
2.73588e-05	0.000284	0
2.7374e-05	0.000284	0
2.73892e-05	0.000284	0
2.74044e-05	0.000284	0
2.74196e-05	0.000284	0
2.74348e-05	0.000284	0
2.745e-05	0.000284	0
2.74652e-05	0.000284	0
2.74804e-05	0.000284	0
2.74956e-05	0.000284	0
2.75108e-05	0.000284	0
2.7526e-05	0.000284	0
2.75412e-05	0.000284	0
2.75564e-05	0.000284	0
2.75716e-05	0.000284	0
2.75868e-05	0.000284	0
2.7602e-05	0.000284	0
2.76172e-05	0.000284	0
2.76324e-05	0.000284	0
2.61276e-05	0.000292	0
2.61428e-05	0.000292	0
2.6158e-05	0.000292	0
2.61732e-05	0.000292	0
2.61884e-05	0.000292	0
2.62036e-05	0.000292	0
2.62188e-05	0.000292	0
2.6234e-05	0.000292	0
2.62492e-05	0.000292	0
2.62644e-05	0.000292	0
2.62796e-05	0.000292	0
2.62948e-05	0.000292	0
2.631e-05	0.000292	0
2.63252e-05	0.000292	0
2.63404e-05	0.000292	0
2.63556e-05	0.000292	0
2.63708e-05	0.000292	0
2.6386e-05	0.000292	0
2.64012e-05	0.000292	0
2.64164e-05	0.000292	0
2.64316e-05	0.000292	0
2.64468e-05	0.000292	0
2.6462e-05	0.000292	0
2.64772e-05	0.000292	0
2.64924e-05	0.000292	0
2.65076e-05	0.000292	0
2.65228e-05	0.000292	0
2.6538e-05	0.000292	0
2.65532e-05	0.000292	0
2.65684e-05	0.000292	0
2.65836e-05	0.000292	0
2.65988e-05	0.000292	0
2.6614e-05	0.000292	0
2.66292e-05	0.000292	0
2.66444e-05	0.000292	0
2.66596e-05	0.000292	0
2.66748e-05	0.000292	0
2.669e-05	0.000292	0
2.67052e-05	0.000292	0
2.67204e-05	0.000292	0
2.67356e-05	0.000292	0
2.67508e-05	0.000292	0
2.6766e-05	0.000292	0
2.67812e-05	0.000292	0
2.67964e-05	0.000292	0
2.68116e-05	0.000292	0
2.68268e-05	0.000292	0
2.6842e-05	0.000292	0
2.68572e-05	0.000292	0
2.68724e-05	0.000292	0
2.68876e-05	0.000292	0
2.69028e-05	0.000292	0
2.6918e-05	0.000292	0
2.69332e-05	0.000292	0
2.69484e-05	0.000292	0
2.69636e-05	0.000292	0
2.69788e-05	0.000292	0
2.6994e-05	0.000292	0
2.70092e-05	0.000292	0
2.70244e-05	0.000292	0
2.70396e-05	0.000292	0
2.70548e-05	0.000292	0
2.707e-05	0.000292	0
2.70852e-05	0.000292	0
2.71004e-05	0.000292	0
2.71156e-05	0.000292	0
2.71308e-05	0.000292	0
2.7146e-05	0.000292	0
2.71612e-05	0.000292	0
2.71764e-05	0.000292	0
2.71916e-05	0.000292	0
2.72068e-05	0.000292	0
2.7222e-05	0.000292	0
2.72372e-05	0.000292	0
2.72524e-05	0.000292	0
2.72676e-05	0.000292	0
2.72828e-05	0.000292	0
2.7298e-05	0.000292	0
2.73132e-05	0.000292	0
2.73284e-05	0.000292	0
2.73436e-05	0.000292	0
2.73588e-05	0.000292	0
2.7374e-05	0.000292	0
2.73892e-05	0.000292	0
2.74044e-05	0.000292	0
2.74196e-05	0.000292	0
2.74348e-05	0.000292	0
2.745e-05	0.000292	0
2.74652e-05	0.000292	0
2.74804e-05	0.000292	0
2.74956e-05	0.000292	0
2.75108e-05	0.000292	0
2.7526e-05	0.000292	0
2.75412e-05	0.000292	0
2.75564e-05	0.000292	0
2.75716e-05	0.000292	0
2.75868e-05	0.000292	0
2.7602e-05	0.000292	0
2.76172e-05	0.000292	0
2.76324e-05	0.000292	0
2.61276e-05	0.0003	0
2.61428e-05	0.0003	0
2.6158e-05	0.0003	0
2.61732e-05	0.0003	0
2.61884e-05	0.0003	0
2.62036e-05	0.0003	0
2.62188e-05	0.0003	0
2.6234e-05	0.0003	0
2.62492e-05	0.0003	0
2.62644e-05	0.0003	0
2.62796e-05	0.0003	0
2.62948e-05	0.0003	0
2.631e-05	0.0003	0
2.63252e-05	0.0003	0
2.63404e-05	0.0003	0
2.63556e-05	0.0003	0
2.63708e-05	0.0003	0
2.6386e-05	0.0003	0
2.64012e-05	0.0003	0
2.64164e-05	0.0003	0
2.64316e-05	0.0003	0
2.64468e-05	0.0003	0
2.6462e-05	0.0003	0
2.64772e-05	0.0003	0
2.64924e-05	0.0003	0
2.65076e-05	0.0003	0
2.65228e-05	0.0003	0
2.6538e-05	0.0003	0
2.65532e-05	0.0003	0
2.65684e-05	0.0003	0
2.65836e-05	0.0003	0
2.65988e-05	0.0003	0
2.6614e-05	0.0003	0
2.66292e-05	0.0003	0
2.66444e-05	0.0003	0
2.66596e-05	0.0003	0
2.66748e-05	0.0003	0
2.669e-05	0.0003	0
2.67052e-05	0.0003	0
2.67204e-05	0.0003	0
2.67356e-05	0.0003	0
2.67508e-05	0.0003	0
2.6766e-05	0.0003	0
2.67812e-05	0.0003	0
2.67964e-05	0.0003	0
2.68116e-05	0.0003	0
2.68268e-05	0.0003	0
2.6842e-05	0.0003	0
2.68572e-05	0.0003	0
2.68724e-05	0.0003	0
2.68876e-05	0.0003	0
2.69028e-05	0.0003	0
2.6918e-05	0.0003	0
2.69332e-05	0.0003	0
2.69484e-05	0.0003	0
2.69636e-05	0.0003	0
2.69788e-05	0.0003	0
2.6994e-05	0.0003	0
2.70092e-05	0.0003	0
2.70244e-05	0.0003	0
2.70396e-05	0.0003	0
2.70548e-05	0.0003	0
2.707e-05	0.0003	0
2.70852e-05	0.0003	0
2.71004e-05	0.0003	0
2.71156e-05	0.0003	0
2.71308e-05	0.0003	0
2.7146e-05	0.0003	0
2.71612e-05	0.0003	0
2.71764e-05	0.0003	0
2.71916e-05	0.0003	0
2.72068e-05	0.0003	0
2.7222e-05	0.0003	0
2.72372e-05	0.0003	0
2.72524e-05	0.0003	0
2.72676e-05	0.0003	0
2.72828e-05	0.0003	0
2.7298e-05	0.0003	0
2.73132e-05	0.0003	0
2.73284e-05	0.0003	0
2.73436e-05	0.0003	0
2.73588e-05	0.0003	0
2.7374e-05	0.0003	0
2.73892e-05	0.0003	0
2.74044e-05	0.0003	0
2.74196e-05	0.0003	0
2.74348e-05	0.0003	0
2.745e-05	0.0003	0
2.74652e-05	0.0003	0
2.74804e-05	0.0003	0
2.74956e-05	0.0003	0
2.75108e-05	0.0003	0
2.7526e-05	0.0003	0
2.75412e-05	0.0003	0
2.75564e-05	0.0003	0
2.75716e-05	0.0003	0
2.75868e-05	0.0003	0
2.7602e-05	0.0003	0
2.76172e-05	0.0003	0
2.76324e-05	0.0003	0
2.61276e-05	0.000308	0
2.61428e-05	0.000308	0
2.6158e-05	0.000308	0
2.61732e-05	0.000308	0
2.61884e-05	0.000308	0
2.62036e-05	0.000308	0
2.62188e-05	0.000308	0
2.6234e-05	0.000308	0
2.62492e-05	0.000308	0
2.62644e-05	0.000308	0
2.62796e-05	0.000308	0
2.62948e-05	0.000308	0
2.631e-05	0.000308	0
2.63252e-05	0.000308	0
2.63404e-05	0.000308	0
2.63556e-05	0.000308	0
2.63708e-05	0.000308	0
2.6386e-05	0.000308	0
2.64012e-05	0.000308	0
2.64164e-05	0.000308	0
2.64316e-05	0.000308	0
2.64468e-05	0.000308	0
2.6462e-05	0.000308	0
2.64772e-05	0.000308	0
2.64924e-05	0.000308	0
2.65076e-05	0.000308	0
2.65228e-05	0.000308	0
2.6538e-05	0.000308	0
2.65532e-05	0.000308	0
2.65684e-05	0.000308	0
2.65836e-05	0.000308	0
2.65988e-05	0.000308	0
2.6614e-05	0.000308	0
2.66292e-05	0.000308	0
2.66444e-05	0.000308	0
2.66596e-05	0.000308	0
2.66748e-05	0.000308	0
2.669e-05	0.000308	0
2.67052e-05	0.000308	0
2.67204e-05	0.000308	0
2.67356e-05	0.000308	0
2.67508e-05	0.000308	0
2.6766e-05	0.000308	0
2.67812e-05	0.000308	0
2.67964e-05	0.000308	0
2.68116e-05	0.000308	0
2.68268e-05	0.000308	0
2.6842e-05	0.000308	0
2.68572e-05	0.000308	0
2.68724e-05	0.000308	0
2.68876e-05	0.000308	0
2.69028e-05	0.000308	0
2.6918e-05	0.000308	0
2.69332e-05	0.000308	0
2.69484e-05	0.000308	0
2.69636e-05	0.000308	0
2.69788e-05	0.000308	0
2.6994e-05	0.000308	0
2.70092e-05	0.000308	0
2.70244e-05	0.000308	0
2.70396e-05	0.000308	0
2.70548e-05	0.000308	0
2.707e-05	0.000308	0
2.70852e-05	0.000308	0
2.71004e-05	0.000308	0
2.71156e-05	0.000308	0
2.71308e-05	0.000308	0
2.7146e-05	0.000308	0
2.71612e-05	0.000308	0
2.71764e-05	0.000308	0
2.71916e-05	0.000308	0
2.72068e-05	0.000308	0
2.7222e-05	0.000308	0
2.72372e-05	0.000308	0
2.72524e-05	0.000308	0
2.72676e-05	0.000308	0
2.72828e-05	0.000308	0
2.7298e-05	0.000308	0
2.73132e-05	0.000308	0
2.73284e-05	0.000308	0
2.73436e-05	0.000308	0
2.73588e-05	0.000308	0
2.7374e-05	0.000308	0
2.73892e-05	0.000308	0
2.74044e-05	0.000308	0
2.74196e-05	0.000308	0
2.74348e-05	0.000308	0
2.745e-05	0.000308	0
2.74652e-05	0.000308	0
2.74804e-05	0.000308	0
2.74956e-05	0.000308	0
2.75108e-05	0.000308	0
2.7526e-05	0.000308	0
2.75412e-05	0.000308	0
2.75564e-05	0.000308	0
2.75716e-05	0.000308	0
2.75868e-05	0.000308	0
2.7602e-05	0.000308	0
2.76172e-05	0.000308	0
2.76324e-05	0.000308	0
2.61276e-05	0.000316	0
2.61428e-05	0.000316	0
2.6158e-05	0.000316	0
2.61732e-05	0.000316	0
2.61884e-05	0.000316	0
2.62036e-05	0.000316	0
2.62188e-05	0.000316	0
2.6234e-05	0.000316	0
2.62492e-05	0.000316	0
2.62644e-05	0.000316	0
2.62796e-05	0.000316	0
2.62948e-05	0.000316	0
2.631e-05	0.000316	0
2.63252e-05	0.000316	0
2.63404e-05	0.000316	0
2.63556e-05	0.000316	0
2.63708e-05	0.000316	0
2.6386e-05	0.000316	0
2.64012e-05	0.000316	0
2.64164e-05	0.000316	0
2.64316e-05	0.000316	0
2.64468e-05	0.000316	0
2.6462e-05	0.000316	0
2.64772e-05	0.000316	0
2.64924e-05	0.000316	0
2.65076e-05	0.000316	0
2.65228e-05	0.000316	0
2.6538e-05	0.000316	0
2.65532e-05	0.000316	0
2.65684e-05	0.000316	0
2.65836e-05	0.000316	0
2.65988e-05	0.000316	0
2.6614e-05	0.000316	0
2.66292e-05	0.000316	0
