#gamma	theta_0	probability

2.7365e-05	-0.0003104	0
2.73806e-05	-0.0003104	0
2.73962e-05	-0.0003104	0
2.74118e-05	-0.0003104	0
2.74274e-05	-0.0003104	0
2.7443e-05	-0.0003104	0
2.74586e-05	-0.0003104	0
2.74742e-05	-0.0003104	0
2.74898e-05	-0.0003104	0
2.75054e-05	-0.0003104	0
2.7521e-05	-0.0003104	0
2.75366e-05	-0.0003104	0
2.75522e-05	-0.0003104	0
2.60078e-05	-0.000304	0
2.60234e-05	-0.000304	0
2.6039e-05	-0.000304	0
2.60546e-05	-0.000304	0
2.60702e-05	-0.000304	0
2.60858e-05	-0.000304	0
2.61014e-05	-0.000304	0
2.6117e-05	-0.000304	0
2.61326e-05	-0.000304	0
2.61482e-05	-0.000304	0
2.61638e-05	-0.000304	0
2.61794e-05	-0.000304	0
2.6195e-05	-0.000304	0
2.62106e-05	-0.000304	0
2.62262e-05	-0.000304	0
2.62418e-05	-0.000304	0
2.62574e-05	-0.000304	0
2.6273e-05	-0.000304	0
2.62886e-05	-0.000304	0
2.63042e-05	-0.000304	0
2.63198e-05	-0.000304	0
2.63354e-05	-0.000304	0
2.6351e-05	-0.000304	0
2.63666e-05	-0.000304	0
2.63822e-05	-0.000304	0
2.63978e-05	-0.000304	0
2.64134e-05	-0.000304	0
2.6429e-05	-0.000304	0
2.64446e-05	-0.000304	0
2.64602e-05	-0.000304	0
2.64758e-05	-0.000304	0
2.64914e-05	-0.000304	0
2.6507e-05	-0.000304	0
2.65226e-05	-0.000304	0
2.65382e-05	-0.000304	0
2.65538e-05	-0.000304	0
2.65694e-05	-0.000304	0
2.6585e-05	-0.000304	0
2.66006e-05	-0.000304	0
2.66162e-05	-0.000304	0
2.66318e-05	-0.000304	0
2.66474e-05	-0.000304	0
2.6663e-05	-0.000304	0
2.66786e-05	-0.000304	0
2.66942e-05	-0.000304	0
2.67098e-05	-0.000304	0
2.67254e-05	-0.000304	0
2.6741e-05	-0.000304	0
2.67566e-05	-0.000304	0
2.67722e-05	-0.000304	0
2.67878e-05	-0.000304	0
2.68034e-05	-0.000304	0
2.6819e-05	-0.000304	0
2.68346e-05	-0.000304	0
2.68502e-05	-0.000304	0
2.68658e-05	-0.000304	0
2.68814e-05	-0.000304	0
2.6897e-05	-0.000304	0
2.69126e-05	-0.000304	0
2.69282e-05	-0.000304	0
2.69438e-05	-0.000304	0
2.69594e-05	-0.000304	0
2.6975e-05	-0.000304	0
2.69906e-05	-0.000304	0
2.70062e-05	-0.000304	0
2.70218e-05	-0.000304	0
2.70374e-05	-0.000304	0
2.7053e-05	-0.000304	0
2.70686e-05	-0.000304	0
2.70842e-05	-0.000304	0
2.70998e-05	-0.000304	0
2.71154e-05	-0.000304	0
2.7131e-05	-0.000304	0
2.71466e-05	-0.000304	0
2.71622e-05	-0.000304	0
2.71778e-05	-0.000304	0
2.71934e-05	-0.000304	0
2.7209e-05	-0.000304	0
2.72246e-05	-0.000304	0
2.72402e-05	-0.000304	0
2.72558e-05	-0.000304	0
2.72714e-05	-0.000304	0
2.7287e-05	-0.000304	0
2.73026e-05	-0.000304	0
2.73182e-05	-0.000304	0
2.73338e-05	-0.000304	0
2.73494e-05	-0.000304	0
2.7365e-05	-0.000304	0
2.73806e-05	-0.000304	0
2.73962e-05	-0.000304	0
2.74118e-05	-0.000304	0
2.74274e-05	-0.000304	0
2.7443e-05	-0.000304	0
2.74586e-05	-0.000304	0
2.74742e-05	-0.000304	0
2.74898e-05	-0.000304	0
2.75054e-05	-0.000304	0
2.7521e-05	-0.000304	0
2.75366e-05	-0.000304	0
2.75522e-05	-0.000304	0
2.60078e-05	-0.0002976	0
2.60234e-05	-0.0002976	0
2.6039e-05	-0.0002976	0
2.60546e-05	-0.0002976	0
2.60702e-05	-0.0002976	0
2.60858e-05	-0.0002976	0
2.61014e-05	-0.0002976	0
2.6117e-05	-0.0002976	0
2.61326e-05	-0.0002976	0
2.61482e-05	-0.0002976	0
2.61638e-05	-0.0002976	0
2.61794e-05	-0.0002976	0
2.6195e-05	-0.0002976	0
2.62106e-05	-0.0002976	0
2.62262e-05	-0.0002976	0
2.62418e-05	-0.0002976	0
2.62574e-05	-0.0002976	0
2.6273e-05	-0.0002976	0
2.62886e-05	-0.0002976	0
2.63042e-05	-0.0002976	0
2.63198e-05	-0.0002976	0
2.63354e-05	-0.0002976	0
2.6351e-05	-0.0002976	0
2.63666e-05	-0.0002976	0
2.63822e-05	-0.0002976	0
2.63978e-05	-0.0002976	0
2.64134e-05	-0.0002976	0
2.6429e-05	-0.0002976	0
2.64446e-05	-0.0002976	0
2.64602e-05	-0.0002976	0
2.64758e-05	-0.0002976	0
