#gamma	theta_0	probability

2.64271e-05	0.0001632	0
2.64413e-05	0.0001632	0
2.64555e-05	0.0001632	0
2.64697e-05	0.0001632	0
2.64839e-05	0.0001632	0
2.64981e-05	0.0001632	0
2.65123e-05	0.0001632	0
2.65265e-05	0.0001632	0
2.65407e-05	0.0001632	0
2.65549e-05	0.0001632	0
2.65691e-05	0.0001632	0
2.65833e-05	0.0001632	0
2.65975e-05	0.0001632	0
2.66117e-05	0.0001632	0
2.66259e-05	0.0001632	0
2.66401e-05	0.0001632	0
2.66543e-05	0.0001632	0
2.66685e-05	0.0001632	0
2.66827e-05	0.0001632	0
2.66969e-05	0.0001632	0
2.67111e-05	0.0001632	0
2.67253e-05	0.0001632	0
2.67395e-05	0.0001632	0
2.67537e-05	0.0001632	0
2.67679e-05	0.0001632	0
2.67821e-05	0.0001632	0
2.67963e-05	0.0001632	0
2.68105e-05	0.0001632	0
2.68247e-05	0.0001632	0
2.68389e-05	0.0001632	0
2.68531e-05	0.0001632	0
2.68673e-05	0.0001632	0
2.68815e-05	0.0001632	0
2.68957e-05	0.0001632	0
2.69099e-05	0.0001632	0
2.69241e-05	0.0001632	0
2.69383e-05	0.0001632	0
2.69525e-05	0.0001632	0
2.69667e-05	0.0001632	0
2.69809e-05	0.0001632	0
2.69951e-05	0.0001632	0
2.70093e-05	0.0001632	0
2.70235e-05	0.0001632	0
2.70377e-05	0.0001632	0
2.70519e-05	0.0001632	0
2.70661e-05	0.0001632	0
2.70803e-05	0.0001632	0
2.70945e-05	0.0001632	0
2.71087e-05	0.0001632	0
2.71229e-05	0.0001632	0
2.71371e-05	0.0001632	0
2.71513e-05	0.0001632	0
2.71655e-05	0.0001632	0
2.71797e-05	0.0001632	0
2.71939e-05	0.0001632	0
2.72081e-05	0.0001632	0
2.72223e-05	0.0001632	0
2.72365e-05	0.0001632	0
2.72507e-05	0.0001632	0
2.72649e-05	0.0001632	0
2.72791e-05	0.0001632	0
2.72933e-05	0.0001632	0
2.73075e-05	0.0001632	0
2.73217e-05	0.0001632	0
2.73359e-05	0.0001632	0
2.73501e-05	0.0001632	0
2.73643e-05	0.0001632	0
2.73785e-05	0.0001632	0
2.73927e-05	0.0001632	0
2.74069e-05	0.0001632	0
2.74211e-05	0.0001632	0
2.74353e-05	0.0001632	0
2.74495e-05	0.0001632	0
2.74637e-05	0.0001632	0
2.74779e-05	0.0001632	0
2.74921e-05	0.0001632	0
2.75063e-05	0.0001632	0
2.75205e-05	0.0001632	0
2.75347e-05	0.0001632	0
2.75489e-05	0.0001632	0
2.75631e-05	0.0001632	0
2.75773e-05	0.0001632	0
2.75915e-05	0.0001632	0
2.76057e-05	0.0001632	0
2.76199e-05	0.0001632	0
2.76341e-05	0.0001632	0
2.76483e-05	0.0001632	0
2.76625e-05	0.0001632	0
2.76767e-05	0.0001632	0
2.76909e-05	0.0001632	0
2.77051e-05	0.0001632	0
2.77193e-05	0.0001632	0
2.77335e-05	0.0001632	0
2.77477e-05	0.0001632	0
2.77619e-05	0.0001632	0
2.77761e-05	0.0001632	0
2.77903e-05	0.0001632	0
2.78045e-05	0.0001632	0
2.78187e-05	0.0001632	0
2.78329e-05	0.0001632	0
2.64271e-05	0.0001696	0
2.64413e-05	0.0001696	0
2.64555e-05	0.0001696	0
2.64697e-05	0.0001696	0
2.64839e-05	0.0001696	0
2.64981e-05	0.0001696	0
2.65123e-05	0.0001696	0
2.65265e-05	0.0001696	0
2.65407e-05	0.0001696	0
2.65549e-05	0.0001696	0
2.65691e-05	0.0001696	0
2.65833e-05	0.0001696	0
2.65975e-05	0.0001696	0
2.66117e-05	0.0001696	0
2.66259e-05	0.0001696	0
2.66401e-05	0.0001696	0
2.66543e-05	0.0001696	0
2.66685e-05	0.0001696	0
2.66827e-05	0.0001696	0
2.66969e-05	0.0001696	0
2.67111e-05	0.0001696	0
2.67253e-05	0.0001696	0
2.67395e-05	0.0001696	0
2.67537e-05	0.0001696	0
2.67679e-05	0.0001696	0
2.67821e-05	0.0001696	0
2.67963e-05	0.0001696	0
2.68105e-05	0.0001696	0
2.68247e-05	0.0001696	0
2.68389e-05	0.0001696	0
2.68531e-05	0.0001696	0
2.68673e-05	0.0001696	0
2.68815e-05	0.0001696	0
2.68957e-05	0.0001696	0
2.69099e-05	0.0001696	0
